Price,Close,High,Low,Open,Volume
Ticker,MNQ=F,MNQ=F,MNQ=F,MNQ=F,MNQ=F
Date,,,,,
2020-01-02,8891.75,8901.5,8769.25,8773.0,170427
2020-01-03,8810.0,8907.75,8735.25,8898.0,315021
2020-01-06,8847.5,8872.5,8723.0,8784.5,222836
2020-01-07,8853.0,8894.5,8825.0,8851.75,225651
2020-01-08,8944.5,8972.5,8678.25,8843.0,418958
2020-01-09,9009.0,9022.25,8932.5,8948.5,241968
2020-01-10,8978.25,9055.25,8966.5,9008.5,234117
2020-01-13,9088.25,9096.5,8978.75,8978.75,171086
2020-01-14,9062.5,9114.75,9035.0,9088.5,269889
2020-01-15,9060.0,9096.0,9023.0,9062.5,219772
2020-01-16,9133.5,9140.25,9060.5,9060.5,174720
2020-01-17,9174.5,9189.25,9130.0,9136.5,173151
2020-01-21,9169.75,9199.75,9114.5,9173.75,231339
2020-01-22,9195.75,9254.0,9174.5,9179.0,194469
2020-01-23,9248.25,9253.75,9151.75,9189.25,240100
2020-01-24,9144.5,9287.5,9109.75,9251.0,328265
2020-01-27,8954.5,9098.25,8926.0,9098.25,397684
2020-01-28,9105.25,9136.0,8952.5,8954.0,308357
2020-01-29,9098.5,9158.75,9072.25,9120.75,304702
2020-01-30,9216.25,9240.0,9003.75,9110.5,395487
2020-01-31,8997.75,9249.0,8965.0,9226.5,572538
2020-02-03,9114.25,9155.75,8975.0,8983.75,299110
2020-02-04,9355.0,9369.0,9073.25,9100.25,275081
2020-02-05,9381.5,9464.25,9318.25,9355.5,329456
2020-02-06,9455.5,9463.5,9363.0,9392.0,256235
2020-02-07,9409.5,9477.0,9385.0,9464.5,277711
2020-02-10,9527.5,9531.75,9330.75,9401.25,267050
2020-02-11,9527.25,9609.5,9501.5,9523.0,259695
2020-02-12,9625.75,9628.0,9524.25,9536.0,213060
2020-02-13,9613.0,9644.75,9511.25,9621.25,293357
2020-02-14,9632.25,9659.25,9588.25,9625.25,228903
2020-02-18,9636.0,9687.25,9534.0,9632.0,309382
2020-02-19,9733.5,9748.75,9640.5,9642.5,191918
2020-02-20,9624.25,9763.0,9516.25,9740.0,483963
2020-02-21,9458.0,9623.5,9411.5,9618.25,460827
2020-02-24,9091.0,9365.75,9041.0,9365.75,719389
2020-02-25,8854.25,9224.5,8810.0,9092.75,887827
2020-02-26,8850.25,9037.75,8709.25,8867.5,919640
2020-02-27,8382.75,8878.25,8334.0,8817.5,1136729
2020-02-28,8454.0,8575.0,8124.25,8353.75,1564102
2020-03-02,8791.25,8883.0,8248.5,8376.25,1051883
2020-03-03,8582.5,9003.0,8510.75,8830.25,1080653
2020-03-04,8896.5,8950.0,8507.25,8559.0,703433
